date,energy_consumption
2020-01-01,78.7319122990381
2020-01-02,56.271066057914936
2020-01-03,49.852223442722895
2020-01-04,44.859355037987285
2020-01-05,50.72813644896083
2020-01-06,46.93029019559462
2020-01-07,54.20907882387816
2020-01-08,54.35408158670998
2020-01-09,53.53936453071047
2020-01-10,53.29182995773634
2020-01-11,49.02173737011289
2020-01-12,49.71998726596042
2020-01-13,51.010387054686376
2020-01-14,54.63088653410586
2020-01-15,57.42096329545234
2020-01-16,55.40816503173714
2020-01-17,53.53684550321035
2020-01-18,47.32268025060495
2020-01-19,49.012906925936754
2020-01-20,51.08773960522961
2020-01-21,58.76418577978455
2020-01-22,60.25362426147843
2020-01-23,54.698994784031306
2020-01-24,52.57272007197763
2020-01-25,44.94335103385779
2020-01-26,53.3140383344026
2020-01-27,53.820395354299315
2020-01-28,59.4938687315252
2020-01-29,59.927787626908135
2020-01-30,56.79321516439071
2020-01-31,53.421195541384456
2020-02-01,49.61054055090594
2020-02-02,49.440184257081825
2020-02-03,57.811698947268944
2020-02-04,62.508241969256716
2020-02-05,59.86824038407478
2020-02-06,56.04333176006393
2020-02-07,53.84573367926074
2020-02-08,48.65468376965805
2020-02-09,52.468578975738424
2020-02-10,55.642538710612385
2020-02-11,62.168489131755486
2020-02-12,61.882033450436104
2020-02-13,58.94410127779885
2020-02-14,55.42928184621464
2020-02-15,53.84611567123814
2020-02-16,57.21088015657685
2020-02-17,57.57914482313334
2020-02-18,60.531877513916164
2020-02-19,60.25689384434453
2020-02-20,59.544108430188764
2020-02-21,59.15292843369555
2020-02-22,54.300557290071794
2020-02-23,56.60297196288441
2020-02-24,61.68953562214972
2020-02-25,65.39523874375908
2020-02-26,61.4824101626037
2020-02-27,57.07189645611421
2020-02-28,56.78866999617695
2020-02-29,57.011831121603166
2020-03-01,58.051029562723784
2020-03-02,60.003014478289494
2020-03-03,68.31007617733506
2020-03-04,63.745350530560245
2020-03-05,58.66496649692616
2020-03-06,58.19355513669802
2020-03-07,55.100484420377164
2020-03-08,55.96922845470791
2020-03-09,59.525612690631554
2020-03-10,63.66964734942656
2020-03-11,66.55160147404595
2020-03-12,62.00117771703415
2020-03-13,57.13406557268014
2020-03-14,56.254036099797695
2020-03-15,58.645674505055936
2020-03-16,61.827277726515405
2020-03-17,67.16784452207027
2020-03-18,64.87416368376729
2020-03-19,65.86039404773504
2020-03-20,57.78179027407575
2020-03-21,52.93715318566715
2020-03-22,58.03340366395492
2020-03-23,62.83185753444601
2020-03-24,67.21945911651562
2020-03-25,66.90326765378784
2020-03-26,65.47158478298739
2020-03-27,56.708024195728456
2020-03-28,54.66368095295372
2020-03-29,58.93664689445679
2020-03-30,60.91647470101891
2020-03-31,64.31538468149091
2020-04-01,63.63506152973348
2020-04-02,63.13777396744375
2020-04-03,56.874903025117064
2020-04-04,55.793902593422374
2020-04-05,55.47409433393519
2020-04-06,60.3692124114788
2020-04-07,62.21895021080455
2020-04-08,65.0062669571378
2020-04-09,60.02630797229574
2020-04-10,57.26285074522597
2020-04-11,55.17818601933995
2020-04-12,54.402676053472035
2020-04-13,63.777667704940704
2020-04-14,61.535890524464705
2020-04-15,64.11137618376749
2020-04-16,63.28813857819037
2020-04-17,56.323091169735854
2020-04-18,56.38752674035682
2020-04-19,55.71083015857103
2020-04-20,61.61758441818643
2020-04-21,63.23656803942458
2020-04-22,63.95678443147249
2020-04-23,65.50231431227527
2020-04-24,58.96416336567958
2020-04-25,53.45607125506554
2020-04-26,56.36141075923688
2020-04-27,59.530619569813716
2020-04-28,63.08217792436443
2020-04-29,66.39458988736715
2020-04-30,61.89249659481657
2020-05-01,59.239376766133674
2020-05-02,57.47514344100213
2020-05-03,56.31016726812678
2020-05-04,59.578446526043855
2020-05-05,69.73770469480412
2020-05-06,63.13354946142782
2020-05-07,63.62464402498139
2020-05-08,58.279266752624004
2020-05-09,52.98318303408497
2020-05-10,57.54673119407588
2020-05-11,60.544062537826825
2020-05-12,60.280549367206426
2020-05-13,62.690833493023604
2020-05-14,60.38414276780927
2020-05-15,56.75972149277641
2020-05-16,55.75856645255748
2020-05-17,54.18681124160873
2020-05-18,57.60868464535637
2020-05-19,62.52986036624614
2020-05-20,61.51251858894992
2020-05-21,60.78353418515385
2020-05-22,55.78532887682812
2020-05-23,49.549968383118866
2020-05-24,54.58193194018278
